StudyName,StudyId,DeviceId,SensorId,Time,Rate,Quality
shibo-left,0,0,4,2016-03-21 13:12:28.716,76,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:12:29.710,76,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:12:30.702,76,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:12:31.672,76,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:12:32.686,76,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:12:33.668,76,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:12:34.676,76,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:12:35.683,76,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:12:36.664,76,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:12:37.659,76,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:12:38.651,76,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:12:39.662,76,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:12:40.651,76,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:12:41.650,76,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:12:42.657,58,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:43.633,58,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:44.633,58,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:45.625,59,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:46.638,58,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:47.628,58,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:48.633,58,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:49.612,59,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:50.613,59,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:51.600,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:52.608,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:53.601,61,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:54.601,61,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:55.583,62,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:56.587,62,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:57.583,62,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:58.575,62,LOCKED
shibo-left,0,0,4,2016-03-21 13:12:59.619,61,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:00.611,61,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:01.563,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:02.605,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:03.566,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:04.595,61,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:05.586,61,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:06.550,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:07.550,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:08.532,59,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:09.532,59,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:10.532,65,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:11.527,64,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:12.535,64,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:13.534,63,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:14.532,63,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:15.507,69,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:16.521,68,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:17.530,67,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:18.506,67,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:19.506,67,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:20.482,68,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:21.482,68,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:22.485,62,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:23.487,62,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:24.476,61,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:25.489,61,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:26.494,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:27.475,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:28.461,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:29.458,59,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:30.458,59,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:31.450,58,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:32.461,58,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:33.434,57,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:34.433,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:35.448,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:36.436,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:37.426,55,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:38.437,55,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:39.425,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:40.425,55,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:41.407,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:42.400,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:43.412,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:44.399,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:45.408,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:46.401,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:47.382,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:48.383,61,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:49.383,61,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:50.375,61,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:51.383,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:52.358,57,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:53.386,57,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:54.357,57,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:55.350,57,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:56.359,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:57.350,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:58.358,55,LOCKED
shibo-left,0,0,4,2016-03-21 13:13:59.334,55,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:00.325,55,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:01.335,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:02.370,57,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:03.333,59,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:04.325,59,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:05.333,64,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:06.311,63,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:07.312,63,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:08.300,62,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:09.297,62,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:10.300,64,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:11.287,64,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:12.284,64,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:13.275,63,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:14.288,63,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:15.275,63,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:16.284,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:17.263,59,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:18.281,59,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:19.250,59,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:20.267,59,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:21.253,57,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:22.251,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:23.250,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:24.248,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:25.243,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:26.241,56,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:27.245,55,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:28.232,55,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:29.218,55,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:30.225,62,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:31.285,61,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:32.210,61,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:33.200,61,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:34.206,61,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:35.199,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:36.264,59,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:37.229,59,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:38.186,59,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:39.175,58,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:40.185,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:41.174,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:42.181,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:43.160,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:44.157,60,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:45.161,66,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:46.150,67,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:47.161,67,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:48.150,68,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:49.159,68,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:50.137,68,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:51.133,69,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:52.132,68,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:53.125,69,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:54.124,69,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:55.136,69,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:56.106,69,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:57.123,69,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:58.110,68,LOCKED
shibo-left,0,0,4,2016-03-21 13:14:59.099,69,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:00.107,69,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:01.100,68,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:02.108,67,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:03.083,67,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:04.082,67,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:05.082,66,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:06.075,66,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:07.082,66,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:08.085,66,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:09.082,66,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:10.068,66,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:11.062,66,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:12.049,66,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:13.056,66,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:14.049,66,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:15.057,67,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:16.035,67,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:17.038,67,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:18.025,67,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:19.024,66,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:20.035,66,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:21.016,65,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:22.012,65,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:23.011,66,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:24.013,66,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:25.011,67,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:26.012,67,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:26.999,67,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:27.990,67,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:28.986,68,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:29.983,69,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:15:31.027,70,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:15:31.974,70,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:15:32.985,72,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:15:33.973,73,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:15:34.956,73,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:15:35.956,73,ACQUIRING
shibo-left,0,0,4,2016-03-21 13:15:36.961,73,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:37.949,73,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:38.955,74,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:39.955,73,LOCKED
shibo-left,0,0,4,2016-03-21 13:15:40.943,73,LOCKED
