StudyName,StudyId,DeviceId,SensorId,Time,Rate,Quality
shibo-right,0,0,6,2016-03-21 13:12:32.365,70,ACQUIRING
shibo-right,0,0,6,2016-03-21 13:12:33.367,70,ACQUIRING
shibo-right,0,0,6,2016-03-21 13:12:34.366,70,ACQUIRING
shibo-right,0,0,6,2016-03-21 13:12:35.355,70,ACQUIRING
shibo-right,0,0,6,2016-03-21 13:12:36.341,70,ACQUIRING
shibo-right,0,0,6,2016-03-21 13:12:37.347,70,ACQUIRING
shibo-right,0,0,6,2016-03-21 13:12:38.348,70,ACQUIRING
shibo-right,0,0,6,2016-03-21 13:12:39.349,70,ACQUIRING
shibo-right,0,0,6,2016-03-21 13:12:40.342,70,ACQUIRING
shibo-right,0,0,6,2016-03-21 13:12:41.352,70,ACQUIRING
shibo-right,0,0,6,2016-03-21 13:12:42.324,70,ACQUIRING
shibo-right,0,0,6,2016-03-21 13:12:43.329,65,LOCKED
shibo-right,0,0,6,2016-03-21 13:12:44.317,65,LOCKED
shibo-right,0,0,6,2016-03-21 13:12:45.316,66,LOCKED
shibo-right,0,0,6,2016-03-21 13:12:46.317,67,LOCKED
shibo-right,0,0,6,2016-03-21 13:12:47.301,66,LOCKED
shibo-right,0,0,6,2016-03-21 13:12:48.301,66,LOCKED
shibo-right,0,0,6,2016-03-21 13:12:49.313,68,LOCKED
shibo-right,0,0,6,2016-03-21 13:12:50.291,69,LOCKED
shibo-right,0,0,6,2016-03-21 13:12:51.292,68,LOCKED
shibo-right,0,0,6,2016-03-21 13:12:52.297,70,LOCKED
shibo-right,0,0,6,2016-03-21 13:12:53.299,71,LOCKED
shibo-right,0,0,6,2016-03-21 13:12:54.272,70,LOCKED
shibo-right,0,0,6,2016-03-21 13:12:55.272,70,LOCKED
shibo-right,0,0,6,2016-03-21 13:12:56.266,64,LOCKED
shibo-right,0,0,6,2016-03-21 13:12:57.292,63,LOCKED
shibo-right,0,0,6,2016-03-21 13:12:58.274,60,LOCKED
shibo-right,0,0,6,2016-03-21 13:12:59.273,60,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:00.247,56,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:01.252,57,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:02.247,56,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:03.258,56,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:04.247,57,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:05.251,57,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:06.231,58,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:07.226,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:08.222,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:09.224,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:10.222,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:11.216,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:12.216,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:13.199,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:14.201,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:15.202,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:16.197,60,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:17.192,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:18.191,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:19.197,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:20.172,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:21.206,60,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:22.166,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:23.166,60,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:24.167,60,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:25.176,60,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:26.149,60,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:27.160,60,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:28.142,60,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:29.157,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:30.149,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:31.154,58,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:32.142,58,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:33.126,58,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:34.116,58,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:35.113,57,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:36.123,56,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:37.126,53,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:38.107,53,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:39.107,53,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:40.098,54,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:41.097,54,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:42.101,54,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:43.091,54,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:44.102,54,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:45.073,57,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:46.072,57,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:47.073,57,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:48.074,57,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:49.066,57,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:50.066,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:51.072,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:52.047,58,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:53.047,58,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:54.041,58,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:55.046,58,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:56.042,57,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:57.048,55,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:58.023,56,LOCKED
shibo-right,0,0,6,2016-03-21 13:13:59.026,55,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:00.022,55,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:01.017,57,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:02.022,58,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:03.028,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:04.030,60,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:05.000,62,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:06.009,62,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:07.002,69,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:07.998,68,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:09.001,67,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:09.974,67,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:10.974,67,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:11.966,63,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:12.976,62,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:13.976,62,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:14.960,62,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:15.966,62,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:16.950,62,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:17.947,61,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:18.947,66,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:19.941,65,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:20.933,65,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:21.941,65,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:22.924,64,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:23.926,63,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:24.924,63,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:25.924,64,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:26.917,64,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:27.924,59,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:28.924,58,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:29.899,58,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:30.891,58,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:31.892,58,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:32.891,58,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:33.892,57,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:34.897,57,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:35.878,57,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:36.872,57,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:37.872,57,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:38.881,62,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:39.880,61,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:40.875,61,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:41.847,62,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:42.852,62,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:43.844,62,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:44.852,66,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:45.848,66,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:46.849,66,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:47.828,66,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:48.822,65,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:49.823,64,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:50.822,64,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:51.826,63,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:52.816,63,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:53.817,64,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:54.798,64,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:55.800,63,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:56.796,63,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:57.792,63,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:58.792,63,LOCKED
shibo-right,0,0,6,2016-03-21 13:14:59.792,63,LOCKED
shibo-right,0,0,6,2016-03-21 13:15:00.776,63,LOCKED
shibo-right,0,0,6,2016-03-21 13:15:01.773,63,LOCKED
shibo-right,0,0,6,2016-03-21 13:15:02.771,62,LOCKED
shibo-right,0,0,6,2016-03-21 13:15:03.766,62,LOCKED
